,precision,recall,f1-score,support
ADONIS,0.9,1.0,0.947,18.0
AFRICAN GIANT SWALLOWTAIL,0.933,0.933,0.933,15.0
AMERICAN SNOOT,0.938,1.0,0.968,15.0
AN 88,1.0,1.0,1.0,17.0
APPOLLO,0.938,0.833,0.882,18.0
ATALA,0.952,1.0,0.976,20.0
BANDED ORANGE HELICONIAN,1.0,0.85,0.919,20.0
BANDED PEACOCK,0.895,1.0,0.944,17.0
BECKERS WHITE,0.8,1.0,0.889,16.0
BLACK HAIRSTREAK,0.875,0.824,0.848,17.0
BLUE MORPHO,1.0,1.0,1.0,15.0
BLUE SPOTTED CROW,0.842,0.941,0.889,17.0
BROWN SIPROETA,0.85,0.85,0.85,20.0
CABBAGE WHITE,0.85,0.944,0.895,18.0
CAIRNS BIRDWING,1.0,0.824,0.903,17.0
CHECQUERED SKIPPER,0.857,0.947,0.9,19.0
CHESTNUT,1.0,1.0,1.0,17.0
CLEOPATRA,0.762,0.842,0.8,19.0
CLODIUS PARNASSIAN,0.833,0.882,0.857,17.0
CLOUDED SULPHUR,0.643,0.5,0.562,18.0
COMMON BANDED AWL,0.938,0.882,0.909,17.0
COMMON WOOD-NYMPH,0.9,1.0,0.947,18.0
COPPER TAIL,0.647,0.579,0.611,19.0
CRECENT,0.9,0.9,0.9,20.0
CRIMSON PATCH,0.857,0.857,0.857,14.0
DANAID EGGFLY,0.842,0.842,0.842,19.0
EASTERN COMA,0.8,0.632,0.706,19.0
EASTERN DAPPLE WHITE,0.889,0.444,0.593,18.0
EASTERN PINE ELFIN,1.0,0.842,0.914,19.0
ELBOWED PIERROT,1.0,0.938,0.968,16.0
GOLD BANDED,0.765,0.867,0.812,15.0
GREAT EGGFLY,0.75,0.562,0.643,16.0
GREAT JAY,1.0,0.842,0.914,19.0
GREEN CELLED CATTLEHEART,0.8,0.889,0.842,18.0
GREY HAIRSTREAK,0.8,0.941,0.865,17.0
INDRA SWALLOW,1.0,0.812,0.897,16.0
IPHICLUS SISTER,0.85,0.895,0.872,19.0
JULIA,0.938,0.938,0.938,16.0
LARGE MARBLE,0.667,0.875,0.757,16.0
MALACHITE,0.938,1.0,0.968,15.0
MANGROVE SKIPPER,0.895,1.0,0.944,17.0
MESTRA,0.833,0.882,0.857,17.0
METALMARK,0.867,0.867,0.867,15.0
MILBERTS TORTOISESHELL,0.882,0.789,0.833,19.0
MONARCH,0.895,0.944,0.919,18.0
MOURNING CLOAK,0.893,0.962,0.926,26.0
ORANGE OAKLEAF,0.941,0.941,0.941,17.0
ORANGE TIP,0.905,1.0,0.95,19.0
ORCHARD SWALLOW,1.0,0.867,0.929,15.0
PAINTED LADY,0.8,1.0,0.889,16.0
PAPER KITE,1.0,1.0,1.0,18.0
PEACOCK,1.0,0.941,0.97,17.0
PINE WHITE,0.938,0.882,0.909,17.0
PIPEVINE SWALLOW,0.941,0.941,0.941,17.0
POPINJAY,0.941,0.941,0.941,17.0
PURPLE HAIRSTREAK,0.867,0.812,0.839,16.0
PURPLISH COPPER,0.722,0.722,0.722,18.0
QUESTION MARK,0.6,0.8,0.686,15.0
RED ADMIRAL,0.824,0.875,0.848,16.0
RED CRACKER,1.0,0.895,0.944,19.0
RED POSTMAN,0.895,0.944,0.919,18.0
RED SPOTTED PURPLE,0.938,0.882,0.909,17.0
SCARCE SWALLOW,1.0,1.0,1.0,20.0
SILVER SPOT SKIPPER,0.938,0.882,0.909,17.0
SLEEPY ORANGE,0.95,0.864,0.905,22.0
SOOTYWING,1.0,0.722,0.839,18.0
SOUTHERN DOGFACE,0.765,0.765,0.765,17.0
STRAITED QUEEN,0.773,1.0,0.872,17.0
TROPICAL LEAFWING,0.895,1.0,0.944,17.0
TWO BARRED FLASHER,0.867,0.867,0.867,15.0
ULYSES,1.0,0.941,0.97,17.0
VICEROY,0.938,0.938,0.938,16.0
WOOD SATYR,1.0,0.929,0.963,14.0
YELLOW SWALLOW TAIL,0.833,1.0,0.909,15.0
ZEBRA LONG WING,1.0,0.933,0.966,15.0
accuracy,0.885,0.885,0.885,0.885
macro avg,0.889,0.886,0.883,1300.0
weighted avg,0.889,0.885,0.883,1300.0
